	Unnamed: 0	source_link	article_title	article_publish_date	article_text	category
0	15	https://kdvr.com/2019/05/25/massive-rockslide-closes-colorado-highway-indefinitely/	Massive rockslide closes Colorado highway ‘indefinitely’	2019-05-25 00:00:00	"This is an archived article and the information in the article may be outdated. Please look at the time stamp on the story to see when it was last updated.

CORTEZ, Colo. — A pair of massive boulders rolled off a Colorado mountainside and smashed into a highway, destroying the pavement and leaving a house-sized rock across the roadway that will have to be blasted apart, state transportation officials said Saturday.

The highway is closed indefinitely, according to the San Miguel Sheriff, as crews removed unstable and loose rock to prevent another fall.

A photo posted by the City of Ouray showed a person posing in front of one of the boulders, which appeared as big as a two-story house. The other large boulder carved an 8-foot trench as it went over the roadway.

It’s relatively common for boulders and smaller rocks to fall on mountain highways, particularly in spring after the repeated melting and freezing of snow and ice creates new fissures on mountainsides.

But Friday’s afternoon rock slide along state Highway 145 between Cortez and Telluride was unusual in that it began about 1,000 feet above the highway , in a cliff band at the top of a slope leading down to the highway.

Once the slope above is deemed safe, crews will seek to build a shoulder along the damaged roadway so at least a single lane of traffic can be opened, Schwantes said."	pos
1	17	https://www.reuters.com/article/us-canada-salmon-airlift-idUSKCN1UH2HU	Canada airlifting thousands of trapped migrating salmon upstream	2019-07-22 22:22:59+00:00	"TORONTO (Reuters) - Canada is airlifting thousands of salmon upstream after a rockslide blocked the path of the migrating fish, triggering concerns of a permanent loss of fish populations, government officials said.

The Big Bar rockslide, which officials believe occurred in late October or early November 2018, is located in the Fraser River just north of the town of Lillooet in northern British Columbia. Because of the remoteness of the location, the slide was not discovered until late June 2019.

It created a waterfall which is preventing millions of chinook, steelhead, coho and sockeye salmon from swimming upstream to their habitual spawning grounds.

The provincial and federal governments are now working with local First Nations communities to move the salmon manually upstream, by creating holding ponds that will allow them to transport the fish via helicopter to a site further upstream.

“Collaborative efforts like this one, with all partners ... are crucial and will give the best chance of survival to these stocks,” Jonathan Wilkinson, federal minister of fisheries and oceans, said in a statement on Friday.

Other fish movement options being enacted are physically moving rocks from the slide to create a series of natural pools for the fish to rest in, and a fish transportation system of flexible pressurized tubes, the provincial government has said.

The fish will be monitored on their journey, including through blood samples taken to assess their energy reserves once they have passed the obstruction.

(This story refiles to correct spelling of sockeye in paragraph three)"	pos
2	19	https://www.japantimes.co.jp/news/2019/08/28/national/special-landslide-flood-warnings-issued-downpours-hit-western-japan/#.XWX3MVQzbcs	Article expired	2019-08-28 00:00:00	"It looks like you're using an ad blocker.

To enjoy our content, please include The Japan Times on your ad-blocker's list of approved sites.

Thank you for supporting our journalism."	neg
3	27	https://indianexpress.com/article/india/kerala-mosque-opens-doors-for-autopsy-of-landslide-victims-5906319/	Kerala: Mosque opens doors for autopsy of landslide victims	2019-08-15 06:49:52+05:30	"When disaster came in the form of a collapsing hill at Kavalapara in Kerala’s Malappuram district last week, it not only levelled a village, but also the boundaries of religion.

As the bodies of 59 people, who were buried alive in the landslide, are being retrieved one after the other since last Friday, their post-mortem is being conducted in the building of a nearby mosque. Masjid Al-Mujahidin mosque at Pothukal has opened its doors to the dead — to Hindus, Muslims and Christians. The mosque committee has handed over its premises used by women to offer namaz for conducting post-mortem of the victims.

Tying together writing tables at the madrasa, post-mortem tables have been readied. Since last Friday, the final journey of the victims, irrespective of their religion, has started from the compound of this mosque.

Read | Malayalam film industry comes together to help Kerala flood victims

Pothukal panchayat member Sulaiman Haji said the nearest government hospital where post-mortem is conducted is in Nilambur, about 25 km from the village. “After the landslide and flood, it was very difficult to take all bodies to Nilambur. When officials wanted a place for post-mortem, we approached the mosque committee and they readily handed over its premises.’’

Mosque committee secretary Kareem Kavanaseri said, “Humanity is above everything, including religion. When officials sought for a place to conduct post-mortem, I showed them a room attached to the mosque. After a day, the doctors sought more space. Then we decided to hand over the halls where women offer namaz. We have also provided the facility for cleaning the bodies after they are retrieved,” said Kareem, who is also a trader.

The post-mortem proceedings also continued on Monday, when Eid was observed. Kareem said no one in the community had objected to the gesture. “In this hour of crisis, we can’t think anything else,’’ he said. The mosque is managed by Kerala Nadvathul Mujahideen."	pos
4	31	https://www.reuters.com/article/us-nepal-landslides/landslides-in-nepal-kill-12-people-at-least-21-missing-idUSKBN2640IU?feedType=mktg&amp;feedName=worldNews&amp;WT.mc_id=Partner-Google	Landslides in Nepal kill 12 people, at least 21 missing	2020-09-13 13:02:39+00:00	"KATHMANDU (Reuters) - Landslides triggered by torrential rain swept through two villages in Nepal on Sunday, killing at least 12 people, a government official said.

Ten people were killed and 21 are missing after a massive landslide swept away homes and people in Barahbise, 100 km (62 miles) east of Kathmandu near the border with the Tibet region of China, Nepali government official Murari Wasti said.

Two others died in a landslide in Baglung in the northwest.

Both landslides struck the villages before dawn and people could not escape to safety, rescuers said.

“Rescuers are looking for those who are missing,” Wasti told Reuters.

The latest fatalities took the death toll from landslides and flash floods in the June-September monsoon season to 314. At least 111 people remain missing and 160 have been injured, Wasti said."	pos
5	34	https://bc.ctvnews.ca/mudslide-closes-section-of-highway-1-in-b-c-no-detour-available-1.5698606	Downed power lines lead to closure on section of Highway 1 in B.C., no detour available	2021-12-08 10:29:00-05:00	"Vancouver -

A stretch of Highway 1 was closed Wednesday morning due to downed power lines, with no detour available.

At about 6:40 a.m. Wednesday, DriveBC posted to social media that the Trans-Canada Highway was closed two kilometres south of Hells Gate Tunnel.

""Crews are on scene, assessment in progress,"" the post said. ""No detour available, no estimated time of reopening.""

When details were first announced about the closure, DriveBC said it was due to a mudslide. However, in a correction posted about an hour later, DriveBC said the route was actually closed because of downed power lines.

The closure is about 15 kilometres south of Boston Bar.

Southern B.C.'s highways have faced several closures in recent weeks after multiple atmospheric rivers hit the region last month bringing record-breaking rainfall, catastrophic flooding and multiple landslides including one that was fatal.

At the peak of the storms, there were no available routes between the Lower Mainland and the Interior. But over the past few weeks, crews have worked to repair and reopen roads.

As recently as this week, Highway 11 connecting Abbotsford and Mission reopened and travel restrictions on Highway 7 lifted.

Even so, restrictions remain in effect on a number of other routes, including Highway 99 and Highway 3. Fleming said there are no immediate plans to fully reopen either of those two major highways, describing Highway 3 as ""crucial"" to the province's supply chain."	neg
6	35	https://www.manilatimes.net/2020/07/04/news/world/massive-landslide-kills-162-in-myanmar/737386/	Massive landslide kills 162 in Myanmar	2020-07-04 00:00:00	"YANGON: The death toll of a massive jade mine landslide in Myanmar’s northernmost Kachin state has risen to 162, the Information Ministry said.

The number of injured people reached 31, said a statement from the Office of the Commander-in-Chief of the Defense Services. Caused by the monsoon rains, the landslide hit a jade mining site in Sate Mu village tract of Hpakant township at 8 a.m. (6:30 a.m. in Manila) Thursday."	pos
7	37	https://www.cbs17.com/news/north-carolina-news/i-40-in-nc-mountains-still-closed-by-mudslide-lanes-will-remain-blocked-for-weeks/1803783116	I-40 in NC mountains still closed by mudslide; lanes will remain blocked for weeks	2019-02-23 19:52:01+00:00	"HAYWOOD COUNTY, N.C. (WSPA) — North Carolina Department of Transportation announced Saturday that part of Interstate 40 in the mountains will remain closed for a week following a mudslide.

The slide happened Friday evening at mile marker 7.5 near the Tennessee state line.

UPDATE: Rockslide will keep I-40 in NC mountains closed until Saturday, officials say

“For everybody’s safety — drivers, workers, contractors — we need to keep the road closed for about a week,” Division 14 Engineer Brian Burch said. “At that point, we anticipate having enough material down the mountain that we can restore one lane of traffic in each direction.”

Traffic will be limited to one lane in each direction, on the eastbound side of a concrete median, for six to eight weeks, according to the release.

NC DOT said geotechnical experts surveyed the mountainside Saturday morning to find that debris was still falling.

The engineers determined that work will be required to stabilize the 500-foot wide area near Hurricane Creek.

UPDATE: Rockslide will keep I-40 in NC mountains closed until Saturday, officials say

According to a release, NC DOT awarded an emergency contract to Harrison Construction as part of another contract to improve I-40 later on this spring.

“Preliminary plans include removing approximately 27,000 cubic yards of dirt, rock and other debris, followed by the installation of preventative measures such as a netting or catchment fence. GeoTechnical experts will help develop the detailed plans,” NCDOT said in a release.

Drivers will need to plan for extra travel time.

NCDOT said the detour that utilizes a combination of I-40, I-240, I-26, and I-81 through Asheville and Johnson City is about 50 miles longer than driving through the Pigeon River Gorge.

UPDATE: Rockslide will keep I-40 in NC mountains closed until Saturday, officials say"	pos
8	50	https://www.euronews.com/2019/05/01/bolivia-residents-watch-as-landslide-sweeps-away-houses	Bolivia: residents watch as landslide sweeps away houses	2019-05-01 00:00:00	Over a dozen houses were destroyed in La Paz, Bolivia on Tuesday (April 30) after a landslide in a hilly suburban area in La Periferica district at the city's outskirts. No deaths were reported as authorities had cleared the area amidst fears of collapse after heavy rains.	pos
9	56	https://www.theguardian.com/world/video/2020/jul/04/record-rainfall-triggers-floods-and-landslides-in-japan-video	Record rainfall triggers floods and landslides in Japan – video	2020-07-04 00:00:00	Record heavy rain in western Japan has caused widespread flooding and landslides, forcing authorities to issue evacuation orders for more than 76,000 residents. Television footage shows homes and vehicles in Kumamoto prefecture partly submerged, and several bridges have been washed away	neg
